feature_1,feature_2,feature_3,feature_4,feature_5,label
0.76472031,0.91858196,0.84805473,0.52970241,0.34708767,1
0.65542438,0.33814312,0.89808235,0.66038885,0.81403609,1
0.48285067,0.15429617,0.55411974,0.33231643,0.72943722,0
0.05838513,0.69328600,0.07927450,0.82716579,0.85595299,0
0.84707659,0.05553836,0.70231463,0.26854668,0.58089316,1
0.25015253,0.25417769,0.39164242,0.29353408,0.20328155,0
0.28283232,0.48576948,0.67833673,0.17580206,0.13709504,0
0.19233872,0.70271207,0.18588203,0.09001306,0.36635533,0
0.34582336,0.60799148,0.15997533,0.88968512,0.57769312,0
0.91060194,0.45227754,0.90623818,0.74011430,0.78352920,1
0.20249899,0.35863296,0.48831885,0.07316818,0.75346581,0
0.00020410,0.53158324,0.55777140,0.53409567,0.70717551,0
0.06088691,0.84948495,0.41432180,0.64067279,0.55326568,0
0.15545201,0.09769764,0.19891988,0.92945315,0.20570435,0
0.15051380,0.13137425,0.26706526,0.29147613,0.95320762,0
0.12308065,0.40194564,0.47817651,0.07950546,0.86034538,0
0.17033423,0.06029690,0.75376005,0.34227983,0.22691943,0
0.73796660,0.28726926,0.60676264,0.09612808,0.68657034,1
0.75694331,0.32602191,0.77782266,0.77438800,0.49068926,1
0.05266997,0.62897610,0.26264635,0.87357488,0.67007739,0
0.29080861,0.23046660,0.51588986,0.30188204,0.13310479,0
0.56559463,0.49391062,0.72796197,0.31935342,0.70736298,0
0.78035371,0.00793478,0.21903633,0.69665786,0.44594350,1
0.68209687,0.39705976,0.36074767,0.37903097,0.66407760,1
0.94183269,0.14657796,0.32937597,0.55460467,0.52442261,1
0.32181630,0.33211711,0.52236630,0.54797941,0.21814912,0
0.01194847,0.81408486,0.56854375,0.47535315,0.89242507,0
0.77005373,0.62303754,0.83501520,0.02600381,0.76861033,1
0.07393315,0.46286038,0.34924267,0.07837412,0.43981002,0
0.61919580,0.85709213,0.71503106,0.76030757,0.09689205,1
0.49029662,0.16836964,0.31895454,0.95082755,0.52040870,0
0.91191451,0.41619304,0.75276779,0.34653245,0.83330488,0
0.13641312,0.34274315,0.34313544,0.83316068,0.34518424,0
0.42262292,0.18569939,0.12350106,0.16971122,0.82797007,0
0.23490624,0.56587546,0.78498853,0.91977526,0.65971115,0
0.16885759,0.28033424,0.06553451,0.56680377,0.57384241,0
0.79173115,0.74081916,0.84671329,0.84555021,0.63916613,1
0.01810621,0.63910299,0.99469735,0.68007183,0.26980675,0
0.45610255,0.47422105,0.82587497,0.49768596,0.73748596,0
0.01791723,0.80857206,0.71888295,0.98575217,0.18151652,0
0.92314586,0.15091860,0.09433755,0.22974265,0.96429919,0
0.13531705,0.23503543,0.82830643,0.99915482,0.97171619,0
0.05267257,0.16024395,0.93560501,0.11583446,0.69515360,0
0.70146247,0.35859487,0.61993104,0.29030684,0.29762513,1
0.31111420,0.48635028,0.80038424,0.48860499,0.98801034,0
0.20038465,0.78048752,0.44131649,0.63974264,0.44312052,0
0.34060607,0.54495403,0.15267206,0.92473440,0.88860102,0
0.48817192,0.53048377,0.75632151,0.86828213,0.94116472,0
0.46350474,0.60655006,0.13445806,0.11086826,0.94871802,0
0.79526876,0.52502720,0.21021058,0.81279022,0.57719658,1
0.15895055,0.14077910,0.47689492,0.80691173,0.38387920,0
0.50593784,0.78853555,0.38297439,0.99559364,0.36740095,0
0.27868663,0.23268023,0.29836192,0.28429504,0.89833620,0
0.96572710,0.71517303,0.96004508,0.42473417,0.12563497,1
0.07185978,0.71866813,0.16534412,0.69980045,0.65849310,0
0.99294489,0.17981158,0.27053934,0.53685465,0.60973819,1
0.20664040,0.14765799,0.21785343,0.24489010,0.50947496,0
0.07943952,0.36283335,0.26655400,0.99947364,0.51396869,0
0.84783173,0.16390407,0.66517762,0.21852579,0.36536624,1
0.42019524,0.63036123,0.56192608,0.68803368,0.01487929,0
0.38122137,0.53533844,0.14219275,0.44973262,0.88526586,0
0.88503152,0.20337957,0.53335347,0.37654670,0.15637494,1
0.23088032,0.96511166,0.25427223,0.93061431,0.07486627,0
0.48119897,0.33883588,0.65838323,0.93251259,0.16570461,0
0.98320446,0.70606369,0.95395336,0.72935438,0.11362242,1
0.36161140,0.92964885,0.94728198,0.27029690,0.14409781,0
0.60892419,0.40776670,0.29507096,0.97337093,0.66293982,0
0.07169687,0.82148646,0.22568480,0.40321363,0.03782040,0
0.76282543,0.34368647,0.18490761,0.61195570,0.88993499,1
0.12945093,0.33103992,0.97119635,0.33408323,0.78980042,0
0.90763985,0.25051223,0.13995425,0.72430074,0.72976458,1
0.26109884,0.87002519,0.32832910,0.93198811,0.71082562,0
0.75118271,0.35659145,0.09552784,0.04319856,0.62684222,1
0.57996102,0.10621633,0.31752964,0.82975899,0.37401316,0
0.29131682,0.21318058,0.24366527,0.35046620,0.28394894,0
0.90245063,0.14007084,0.80936591,0.93601805,0.11661188,1
0.66774060,0.34138774,0.74222278,0.52024392,0.54891913,1
0.24521999,0.13968615,0.41360892,0.52846234,0.77578419,0
0.37533816,0.75382801,0.93604549,0.46520142,0.88297439,0
0.66478075,0.42140682,0.78967742,0.68408981,0.18415405,1
0.88994984,0.30999516,0.61776582,0.55853085,0.43601587,1
0.45125553,0.69876252,0.39722412,0.80176228,0.89062687,0
0.14824914,0.16527985,0.47870205,0.72384220,0.07384467,0
0.50170731,0.96806706,0.95977619,0.67269355,0.25363724,0
0.37029979,0.85644171,0.34656846,0.59023242,0.75800814,0
0.83213260,0.23463590,0.49450897,0.21023813,0.51068727,1
0.72085917,0.03726455,0.72936345,0.43368309,0.35567752,1
0.96066451,0.46126644,0.34152205,0.54016290,0.25927312,1
0.61196771,0.97312385,0.90690804,0.21713120,0.20217576,1
0.75088316,0.98835395,0.81213238,0.77123702,0.96867153,0
0.61035027,0.56478976,0.54494265,0.69547402,0.29883296,1
0.09820485,0.20234333,0.39302392,0.72540819,0.12690272,0
0.04397427,0.11337636,0.60417788,0.55989137,0.72979305,0
0.20858146,0.12362802,0.15213694,0.34984697,0.75610449,0
0.77078714,0.99585168,0.34680449,0.73931221,0.23780101,1
0.73736910,0.38049718,0.51084585,0.15685546,0.14895733,1
0.40805918,0.54105790,0.54017256,0.09714290,0.79832969,0
0.87303989,0.10212201,0.32421408,0.12305497,0.74852980,1
0.43317344,0.97067493,0.92468811,0.82286730,0.01144028,0
0.23506854,0.71458437,0.13241824,0.17664666,0.99461527,0
0.57956775,0.20422565,0.77175714,0.29948363,0.16541864,0
0.00910911,0.15316309,0.88047560,0.18089584,0.10229466,0
0.05724528,0.01447450,0.48830854,0.56766653,0.95709604,0
0.04917151,0.82029356,0.29352440,0.68745456,0.34567035,0
0.83227246,0.50815031,0.21074504,0.45204923,0.92610805,1
0.29573945,0.34928274,0.54922656,0.44923685,0.54538628,0
0.78225112,0.45419187,0.26160939,0.86034650,0.08355789,1
0.32032076,0.31045505,0.52311247,0.67343997,0.00411895,0
0.87365586,0.12331563,0.05996010,0.86584538,0.51728355,1
0.47566181,0.30725107,0.06129696,0.95606382,0.92633107,0
0.90833788,0.52840922,0.38644682,0.20532303,0.78460710,0
0.35685194,0.27620403,0.48189129,0.55414428,0.43609208,0
0.89833823,0.29596078,0.68843252,0.04592953,0.89120479,0
0.90229328,0.51619219,0.72092311,0.63075915,0.93244446,0
0.79034918,0.27433628,0.00084560,0.04697951,0.02869045,1
0.66005822,0.76888583,0.27749703,0.62049680,0.95184382,0
0.34387067,0.36830792,0.92361729,0.36349165,0.17553301,0
0.48248293,0.09215677,0.65730902,0.63758435,0.27757202,0
0.26428478,0.92439172,0.17051348,0.47863836,0.38808610,0
0.08270273,0.71129485,0.57412884,0.27349385,0.70490662,0
0.96483486,0.81827486,0.10218776,0.08961954,0.46656809,1
0.39649504,0.40672263,0.59537982,0.75006971,0.79494116,0
0.18662137,0.51238318,0.53371102,0.89779358,0.86318523,0
0.44074160,0.65049194,0.07674211,0.84823029,0.09236939,0
0.64120278,0.45758747,0.88562232,0.15280502,0.12748590,1
0.08542559,0.04946933,0.46574488,0.96187661,0.94467561,0
0.28380576,0.97724219,0.81999401,0.67402328,0.70871973,0
0.88523757,0.99540962,0.92760891,0.66184082,0.05560642,1
0.43219832,0.75850033,0.92331478,0.28570997,0.90925706,0
0.26902657,0.33367281,0.90115146,0.69359483,0.36795200,0
0.29736277,0.91545602,0.35416038,0.37604402,0.76491608,0
0.61362477,0.78222629,0.26614721,0.86561727,0.46571443,1
0.53414203,0.27677432,0.20470003,0.83474496,0.46501763,0
0.44890458,0.51822012,0.52761499,0.31828053,0.61461627,0
0.05987842,0.71720380,0.17299039,0.25999946,0.25076078,0
0.26500624,0.57550092,0.15106711,0.07837189,0.41270147,0
0.01634153,0.13567792,0.00600013,0.41344970,0.51839761,0
0.15133002,0.51615921,0.39208003,0.23378866,0.80421621,0
0.29208567,0.02290224,0.11187811,0.03300865,0.45718036,0
0.95393619,0.92636611,0.67332851,0.13330934,0.88532117,0
0.37427568,0.61293782,0.33674857,0.54640858,0.87816190,0
0.21217569,0.48028404,0.84060162,0.09700681,0.70304851,0
0.04183494,0.58156141,0.77923275,0.96982250,0.75275959,0
0.38463222,0.85141578,0.27299683,0.99983756,0.71282440,0
