feature_1,feature_2,feature_3,feature_4,feature_5,label
0.59347386,0.76609278,0.71701880,0.58175600,0.03827376,2
0.05779809,0.00698607,0.28332953,0.05752899,0.16214817,0
0.43283212,0.68477896,0.66619319,0.14259260,0.72392117,1
0.31567042,0.06164114,0.33398031,0.78816557,0.88999013,2
0.14731114,0.80730383,0.98945262,0.93556079,0.36712584,2
0.23392123,0.44658904,0.42522752,0.05727875,0.64389666,1
0.77985805,0.58646749,0.31819896,0.87187479,0.91245891,2
0.98898585,0.71828694,0.47885870,0.91205190,0.04148039,3
0.95911344,0.31230276,0.41126807,0.58019420,0.90104004,3
0.15645080,0.35046522,0.05336849,0.10703716,0.44972402,0
0.93219833,0.59449950,0.43780444,0.93668670,0.68071353,2
0.17665441,0.91015201,0.17104793,0.44605368,0.82282682,0
0.13265506,0.91472845,0.21285966,0.85475939,0.95229431,2
0.66041144,0.35507113,0.14146254,0.81360572,0.01105105,2
0.96827091,0.29275759,0.88179149,0.39771285,0.78065852,1
0.56990647,0.79236461,0.49345518,0.51099323,0.75895740,2
0.46377331,0.27339708,0.02999307,0.22033755,0.08089730,0
0.81815173,0.46643918,0.00012085,0.51702461,0.15246743,2
0.64831217,0.43227162,0.25485760,0.43178235,0.66477498,0
0.19267245,0.94085469,0.69684713,0.86193002,0.74360551,1
0.08441971,0.94532801,0.42573025,0.36049027,0.53802642,1
0.95123582,0.34695378,0.41630157,0.44983435,0.09341498,1
0.34077874,0.68486975,0.76238403,0.87456937,0.85140759,1
0.49200392,0.47110685,0.30081972,0.34753320,0.92288096,1
0.99568530,0.54103086,0.41265082,0.28606474,0.16820740,1
0.24699475,0.31560158,0.03869675,0.67789576,0.18791285,2
0.29049097,0.62616985,0.84269989,0.77342156,0.07728364,2
0.01961729,0.63332713,0.42353920,0.14864234,0.10245144,1
0.37038628,0.16802871,0.89332624,0.36884642,0.96333197,1
0.15137345,0.46272361,0.44624446,0.44788039,0.24055177,1
0.44763940,0.26619967,0.06157257,0.38764408,0.17611081,0
0.87556964,0.07718697,0.59437635,0.30785929,0.84569033,1
0.85909149,0.46979343,0.24217488,0.10204483,0.52820957,0
0.68741289,0.18767721,0.62298153,0.58251122,0.45938108,2
0.88450776,0.25116194,0.44372527,0.57226345,0.46338890,2
0.29023587,0.28657933,0.06534212,0.08514978,0.91748244,0
0.61655248,0.85148740,0.35301908,0.40721978,0.80437278,1
0.96188084,0.84273446,0.52395850,0.81011612,0.18935814,3
0.92409092,0.08992987,0.05094628,0.83877784,0.18662213,2
0.18543079,0.08561927,0.46595886,0.38945192,0.99893290,1
0.54030747,0.90210598,0.19151192,0.77353235,0.09342862,2
0.81861681,0.29389807,0.97766061,0.04121279,0.20372712,1
0.74811543,0.21856649,0.54893268,0.74039993,0.78884696,1
0.15978448,0.45383045,0.86182295,0.60757216,0.92244217,1
0.34284424,0.61782071,0.87115682,0.36350759,0.70858898,1
0.33304505,0.09033638,0.77122599,0.67961271,0.29484050,2
0.69165990,0.55640666,0.89191403,0.66213988,0.13868380,2
0.06672484,0.54278606,0.12288911,0.22551126,0.50066455,0
0.14597739,0.40017580,0.24012973,0.18696259,0.07191932,0
0.38638344,0.59972430,0.79492253,0.53656036,0.94214530,1
0.01720736,0.06787246,0.96461606,0.82176564,0.49847928,2
0.80461933,0.49528528,0.97156960,0.88782012,0.62926587,1
0.22181680,0.97313948,0.12068882,0.46870354,0.41005243,0
0.90292852,0.63533284,0.36989782,0.15290058,0.90579849,1
0.74814104,0.40396784,0.82949949,0.57809362,0.15230409,2
0.30413845,0.97455088,0.27775693,0.06653749,0.57627984,0
0.02719612,0.77657002,0.83619318,0.80525005,0.66100272,1
0.64834678,0.18807866,0.78687223,0.06448091,0.05647232,1
0.16447805,0.44760132,0.91370790,0.22791130,0.97126423,1
0.30257058,0.40854439,0.47527460,0.90251200,0.53711906,2
0.83313675,0.21322112,0.41013351,0.69840539,0.83170807,2
0.79265103,0.27278041,0.52931248,0.29378028,0.55271748,1
0.75418369,0.74000115,0.20278252,0.46142834,0.73591658,0
0.00903673,0.82309430,0.83945311,0.62168531,0.03793062,2
0.22792602,0.34882949,0.48842773,0.69927020,0.54834416,2
0.54918761,0.54444848,0.04801308,0.88503468,0.91023437,2
0.96900961,0.00934514,0.99505342,0.58501238,0.03120329,3
0.03935086,0.82378674,0.36116668,0.79835311,0.54112023,2
0.20149236,0.16612869,0.41441981,0.05410367,0.61441914,1
0.59016658,0.51779653,0.65262333,0.24731900,0.04518229,1
0.80540745,0.62501096,0.55671601,0.38327291,0.31202777,1
0.57299164,0.93877615,0.79872176,0.84613927,0.08653552,2
0.69304062,0.94427692,0.25817294,0.90502599,0.24147457,2
0.94196106,0.34391810,0.09317265,0.22129409,0.33105696,0
0.33772832,0.85297440,0.14134948,0.14757299,0.84195441,0
0.77138675,0.40573746,0.86517075,0.12128859,0.74168687,1
0.62594812,0.83511476,0.27886641,0.98645596,0.31750169,2
0.26539620,0.48101078,0.76729054,0.28990207,0.64598845,1
0.88739145,0.90552964,0.79827854,0.77826756,0.30506535,2
