feature_1,feature_2,feature_3,feature_4,feature_5,label
0.10189807,0.67527435,0.14026128,0.35956329,0.59386593,1
0.82773671,0.28831648,0.89893171,0.54929553,0.94591899,1
0.57285919,0.23456300,0.60492094,0.90335570,0.81011363,1
0.74633809,0.57021793,0.66963630,0.89655691,0.68220295,3
0.78034426,0.59335281,0.86699351,0.70010629,0.96771969,3
0.39260121,0.57673600,0.22098161,0.70247922,0.00994814,1
0.96903296,0.26046632,0.21258502,0.14142216,0.12089988,1
0.63332113,0.86598082,0.26055406,0.93412320,0.46395027,3
0.48518116,0.51346596,0.81984235,0.87072681,0.09130554,3
0.38846469,0.44534522,0.08743035,0.64024566,0.66875757,1
0.90168373,0.54424397,0.26525295,0.22220491,0.46789570,3
0.59142425,0.05938498,0.55340117,0.00307848,0.69579839,0
0.22618555,0.51868181,0.80294055,0.09256044,0.37686219,2
0.95733081,0.77949483,0.65617820,0.89637630,0.23240704,1
0.58642784,0.91396835,0.22951875,0.74288717,0.86750370,3
0.12735950,0.99945394,0.00986584,0.54308051,0.53612571,1
0.04666283,0.56116869,0.11308072,0.87419284,0.73434435,3
0.03794098,0.09473634,0.43838009,0.72859446,0.73637695,0
0.77715738,0.44942796,0.87894712,0.29608439,0.25005455,1
0.18191199,0.74940279,0.62937369,0.57131256,0.97113908,1
0.22818527,0.94629029,0.41216098,0.73234507,0.57632929,1
0.55481067,0.43507087,0.83865189,0.54036822,0.40773800,3
0.26949814,0.16492673,0.79937184,0.69929215,0.90389634,3
0.14162071,0.79323532,0.13641794,0.47464274,0.37915533,1
0.35764980,0.41970575,0.21925030,0.36167782,0.12794822,1
0.23319741,0.64662503,0.98546320,0.37345101,0.75495789,3
0.50010457,0.69555557,0.95417841,0.52992123,0.92203719,3
0.81967378,0.92077908,0.50814951,0.82103493,0.67174561,3
0.68966251,0.13628466,0.25443942,0.97067317,0.65397563,0
0.37308985,0.14961591,0.32436205,0.99547795,0.97104296,0
0.82687312,0.89529775,0.48938871,0.50115587,0.17354890,1
0.57416424,0.98266046,0.44383859,0.80927848,0.15846483,1
0.10595811,0.48743884,0.18003324,0.36297749,0.46663375,1
0.13252054,0.02427826,0.09589380,0.68538059,0.19502093,0
0.34137916,0.03182277,0.41189337,0.03989952,0.39874001,0
0.46510914,0.96457610,0.00450493,0.69689645,0.70517063,3
0.40831494,0.96852688,0.25364312,0.24905315,0.04563748,1
0.71764893,0.31928203,0.65624709,0.53891307,0.63612646,1
