feature_1,feature_2,feature_3,feature_4,feature_5,label
0.03561864,0.98264212,0.97838169,0.50622411,0.17180902,1
0.96276482,0.80670547,0.85958728,0.22432436,0.80994838,3
0.51560502,0.37860758,0.10799753,0.04158869,0.82947388,3
0.55490138,0.44930444,0.69684417,0.32221352,0.17690640,1
0.26995964,0.02369801,0.77567410,0.64387092,0.74303968,3
0.48960569,0.34150505,0.29553308,0.32598930,0.68368060,1
0.65748340,0.94914760,0.10546003,0.46399793,0.26940793,1
0.34422145,0.19548727,0.00900453,0.91201879,0.03801535,0
0.24832120,0.08012707,0.44615802,0.89701096,0.48876273,2
0.26207082,0.60565138,0.20612046,0.27739678,0.34391546,1
0.33262601,0.61254033,0.91898286,0.95719502,0.61273704,2
0.22824738,0.78033031,0.79806772,0.85768799,0.72026378,3
0.42909016,0.40356460,0.04644156,0.69424695,0.77803547,0
0.38438053,0.20439024,0.35438807,0.75432537,0.05141049,2
0.71173118,0.78428799,0.65473248,0.59172014,0.91694401,3
0.02591038,0.95663058,0.81629638,0.03803810,0.18638270,1
0.71088996,0.88263223,0.65248689,0.73183474,0.44405401,2
0.76976684,0.89276802,0.53605689,0.84335653,0.21511941,2
0.43227857,0.32556586,0.57644937,0.25630116,0.45446691,1
0.94177404,0.46671483,0.97526968,0.74866141,0.79374799,3
0.37653797,0.48850560,0.50896355,0.89217195,0.53540570,2
0.65794529,0.06169159,0.41463922,0.99447809,0.27670385,2
0.11758945,0.73902663,0.29926235,0.76718520,0.68049008,1
0.31841862,0.12525206,0.03933491,0.53558454,0.46659905,0
0.03813862,0.49451897,0.84988008,0.44464432,0.66711209,1
0.26901035,0.89017192,0.96784958,0.38259467,0.79435271,3
0.52845298,0.54383752,0.89066255,0.10348717,0.05135282,1
0.64087140,0.45005261,0.11995029,0.88662759,0.49977624,1
0.41428953,0.47207322,0.29746957,0.44454239,0.19572473,1
0.36912280,0.81923644,0.60675166,0.29804693,0.78571084,1
0.53414423,0.81956983,0.42562321,0.39008224,0.24325015,1
0.32498147,0.49152877,0.59762917,0.66872553,0.39420709,2
0.74676721,0.25388724,0.45463073,0.29773328,0.74332163,1
0.17966423,0.79874191,0.51631204,0.40358963,0.78669045,1
0.68886939,0.30638021,0.79662135,0.43148644,0.46373161,1
0.01390780,0.50810873,0.53564452,0.16996790,0.66810392,1
0.04341289,0.68778218,0.92437220,0.32893655,0.39968683,1
0.98136355,0.74199488,0.76976112,0.12719049,0.89479131,3
0.62735849,0.60718554,0.66644921,0.67629543,0.81880501,3
0.71666372,0.14744852,0.04996880,0.92166265,0.85637609,3
0.58356374,0.32834169,0.92188964,0.89890671,0.92616607,3
0.39702511,0.68153171,0.04576857,0.65146856,0.36135700,0
0.99434158,0.70673801,0.31008390,0.49065447,0.42143881,1
0.53609092,0.90332932,0.52437021,0.13296933,0.56030048,1
0.41963904,0.81859144,0.08164596,0.11128367,0.23039037,1
0.63442049,0.14658837,0.65400315,0.44224545,0.05936397,1
0.46118709,0.59311047,0.55059518,0.34472019,0.93400884,3
0.50785964,0.03108510,0.22587651,0.69894430,0.36704792,1
0.38994021,0.61859079,0.72129263,0.65906847,0.13656916,2
0.75655439,0.87815360,0.59832168,0.77434983,0.62412614,2
0.77104633,0.18939615,0.70838325,0.87277434,0.89532594,3
0.89112942,0.94274489,0.42815180,0.13513091,0.11752535,1
0.86614270,0.42425279,0.45378582,0.17299849,0.23515900,1
0.08277752,0.37947272,0.48118642,0.73827595,0.77828458,3
0.33082454,0.32282743,0.86566858,0.11697439,0.16206784,1
0.63648185,0.56944942,0.35581492,0.58138069,0.02296582,2
0.25778468,0.28097404,0.24284423,0.52344657,0.02881576,1
0.30079436,0.50753496,0.46974124,0.46284999,0.02155337,1
0.98320469,0.38229933,0.16062619,0.20868212,0.51672620,1
0.82496400,0.93931907,0.98523126,0.96917525,0.59596891,2
0.14619642,0.21254370,0.52887731,0.85100380,0.14528938,2
0.51865029,0.67001825,0.37910747,0.13168585,0.21816101,1
0.67815831,0.33464571,0.37400875,0.42513578,0.24769418,1
0.42634366,0.00962180,0.26011457,0.96225835,0.66776842,2
0.80538489,0.60342126,0.66243682,0.61953369,0.11789520,2
