feature_1,feature_2,feature_3,feature_4,feature_5,label
0.81767327,0.19780409,0.87633861,0.40965692,0.06189587,1
0.22462092,0.32400764,0.61478564,0.07246844,0.60694257,0
0.22464713,0.64182270,0.51356051,0.11735711,0.18964739,2
0.84624917,0.68848172,0.38935881,0.54252734,0.35041237,3
0.64533646,0.45975070,0.80626614,0.72571565,0.76337267,1
0.83573568,0.62581994,0.29673833,0.25537201,0.02455000,3
0.49890999,0.28885772,0.87791209,0.02723075,0.46040616,3
0.36061344,0.89545526,0.95749497,0.97194208,0.59487524,1
0.66895942,0.93920552,0.06424042,0.51803159,0.57642142,0
0.74549484,0.91855591,0.19506693,0.69916448,0.12747728,3
0.70992900,0.48837531,0.64711757,0.85396215,0.68952624,0
0.92174196,0.88288501,0.66898870,0.50537791,0.80516073,0
0.46356313,0.04975433,0.85571102,0.72970117,0.39704666,1
0.42204173,0.08631691,0.69418160,0.52799961,0.24271490,0
0.33488723,0.50655358,0.41769129,0.10775922,0.36522290,2
0.77051898,0.81667993,0.66357996,0.82868087,0.21724464,3
0.84277077,0.09966447,0.80902140,0.56008647,0.45325349,1
0.18070783,0.05747271,0.22910291,0.29921987,0.70934312,0
0.12506822,0.55318678,0.23177072,0.27427065,0.94743489,2
0.73265896,0.50197163,0.46012726,0.95531741,0.17052322,3
0.55183972,0.92091094,0.45142276,0.43819022,0.75649833,0
0.48102260,0.16024488,0.79855067,0.79352554,0.69620344,1
0.10370800,0.69779838,0.09510422,0.57318822,0.58130362,0
0.96784443,0.98432660,0.23011134,0.72102765,0.10786030,3
0.23579408,0.85722525,0.71688035,0.77100639,0.22051403,2
0.48551103,0.36966947,0.14737605,0.96225049,0.11560404,3
0.76932160,0.62631322,0.14988984,0.95912339,0.87553309,0
0.79700923,0.91090517,0.11795059,0.93106186,0.69030732,0
0.77263972,0.55526118,0.80535836,0.62374988,0.01987635,3
0.96297751,0.21077316,0.49683832,0.54534306,0.85363882,0
0.38022995,0.30649057,0.82476097,0.10939205,0.34427571,2
0.13491922,0.58553333,0.75576291,0.73269576,0.17775611,2
0.20181759,0.37864499,0.78482993,0.47676850,0.58966820,1
0.37926912,0.90380354,0.16123359,0.62650754,0.06268179,2
0.40593235,0.86220301,0.78605076,0.43721833,0.35798538,2
0.45879702,0.54944544,0.94815380,0.16094187,0.08559147,3
0.76990049,0.61296106,0.18364563,0.17538856,0.17528250,3
0.41980320,0.80444902,0.57419762,0.28806259,0.76540867,0
0.89210880,0.20738281,0.50330534,0.13148113,0.74857705,0
